Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,IsAlone,HasCabin,Fare_log
1,3,1,21.0,0,0,7.65,3,1,0,2.157559320943788
1,3,2,28.0,0,0,7.775,3,1,0,2.1719067693519296
0,3,2,38.0,0,0,7.8958,3,1,0,2.1855792552411137
1,3,1,28.0,1,0,24.15,2,0,0,3.224857896545748
0,1,2,47.0,0,0,14.5,3,1,1,2.740840023925201
0,3,1,14.5,1,0,14.4542,1,0,0,2.737880811060884
0,3,2,22.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,1,20.0,1,0,9.825,3,0,0,2.3818582738885534
0,3,1,17.0,0,0,14.4583,1,1,0,2.738146075922933
0,3,2,21.0,0,0,14.5,3,1,0,2.740840023925201
0,3,2,70.5,0,0,7.75,2,1,0,2.169053700369523
0,2,2,29.0,1,0,21.0,3,0,0,3.091042453358316
0,1,2,24.0,0,1,247.5208,1,0,1,5.515526544247129
0,3,1,2.0,4,2,31.275,3,0,0,3.4742929367327062
0,2,2,21.0,2,0,73.5,3,0,0,4.310799125385514
0,3,2,28.0,0,0,8.05,3,1,0,2.2027647577118348
0,2,2,32.5,1,0,30.0708,1,0,0,3.436268471383741
1,2,1,32.5,0,0,13.0,3,1,1,2.639057329615259
0,1,2,54.0,0,1,77.2875,3,0,1,4.360387947851531
1,3,2,12.0,1,0,11.2417,1,0,0,2.5048481563289
0,3,2,28.0,0,0,7.75,2,1,0,2.169053700369523
1,3,2,24.0,0,0,7.1417,3,1,0,2.0969990034181696
1,3,1,28.0,1,1,22.3583,1,0,1,3.1509523813392697
0,3,2,45.0,0,0,6.975,3,1,0,2.076311648670908
0,3,2,33.0,0,0,14.5,1,1,0,2.740840023925201
0,3,2,20.0,0,0,7.05,3,1,0,2.085672091430472
0,3,1,47.0,1,0,14.5,3,0,0,2.740840023925201
1,2,1,29.0,1,0,26.0,3,0,0,3.295836866004329
0,2,2,25.0,0,0,13.0,3,1,0,2.639057329615259
0,2,2,23.0,0,0,15.0458,1,1,0,2.775447133088262
1,1,1,19.0,0,2,26.2833,3,0,1,3.3062747934011893
0,1,2,37.0,1,0,53.1,3,0,1,3.9908341858524357
0,3,2,16.0,0,0,14.5,3,1,0,2.740840023925201
0,1,2,24.0,0,0,14.5,1,1,1,2.740840023925201
0,3,1,28.0,0,2,15.2458,1,0,0,2.7878344138303452
1,3,1,22.0,0,0,7.75,3,1,0,2.169053700369523
1,3,1,24.0,1,0,15.85,3,0,0,2.8243506567983707
0,3,2,19.0,0,0,6.75,2,1,0,2.0476928433652555
0,2,2,18.0,0,0,14.5,3,1,0,2.740840023925201
0,2,2,19.0,1,1,36.75,3,0,0,3.6309854756950335
1,3,2,27.0,0,0,7.7958,3,1,0,2.174274334826008
0,3,1,9.0,2,2,34.375,3,0,0,3.5660053559634015
0,2,2,36.5,0,2,26.0,3,0,1,3.295836866004329
0,2,2,42.0,0,0,13.0,3,1,0,2.639057329615259
0,2,2,51.0,0,0,12.525,3,1,0,2.6045398247325453
1,1,1,22.0,1,0,14.5,3,0,1,2.740840023925201
0,3,2,55.5,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,40.5,0,2,14.5,3,0,0,2.740840023925201
0,3,2,28.0,0,0,7.3125,3,1,0,2.1177604059819726
0,1,2,51.0,0,1,14.5,1,0,0,2.740840023925201
1,3,1,16.0,0,0,7.7333,2,1,0,2.167143305297764
0,3,2,30.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,28.0,0,0,8.6625,3,1,0,2.2682524139135403
0,3,2,28.0,8,2,69.55,3,0,0,4.256321678298823
0,3,2,44.0,0,1,16.1,3,0,0,2.8390784635086144
1,2,1,40.0,0,0,15.75,3,1,0,2.8183982582710754
0,3,2,26.0,0,0,7.775,3,1,0,2.1719067693519296
0,3,2,17.0,0,0,8.6625,3,1,0,2.2682524139135403
0,3,2,1.0,4,1,39.6875,3,0,0,3.705920919968788
1,3,2,9.0,0,2,20.525,3,0,0,3.0692150503137943
1,1,1,28.0,0,1,55.0,3,0,1,4.02535169073515
0,3,1,45.0,1,4,27.9,3,0,0,3.3638415951183864
0,1,2,28.0,0,0,25.925,3,1,0,3.2930552230424524
0,3,2,28.0,0,0,56.4958,3,1,0,4.051711901657239
0,1,2,61.0,0,0,33.5,3,1,1,3.5409593240373143
0,3,2,4.0,4,1,29.125,2,0,0,3.405355391810819
1,3,1,1.0,1,1,11.1333,3,0,0,2.4959537387180646
0,3,2,21.0,0,0,7.925,3,1,0,2.188856327665703
0,1,2,56.0,0,0,30.6958,1,1,1,3.4561841799918147
0,3,2,18.0,1,1,7.8542,3,0,0,2.180891922715322
0,3,2,28.0,3,1,25.4667,3,0,0,3.275887339030031
0,1,1,50.0,0,0,28.7125,1,1,1,3.391567832686312
0,2,2,30.0,0,0,14.5,3,1,0,2.740840023925201
0,3,2,36.0,0,0,0.0,3,1,0,0.0
0,3,1,28.0,8,2,69.55,3,0,0,4.256321678298823
0,2,2,28.0,0,0,15.05,1,1,0,2.775708849576025
0,3,2,9.0,4,2,31.3875,3,0,0,3.4777725458882283
1,2,2,1.0,2,1,39.0,3,0,1,3.6888794541139363
1,3,1,4.0,0,2,22.025,3,0,0,3.1365805821413706
0,1,2,28.0,0,0,50.0,3,1,1,3.9318256327243257
1,3,1,28.0,1,0,14.5,2,0,0,2.740840023925201
1,1,2,45.0,0,0,26.55,3,1,0,3.3160025355989236
0,3,2,40.0,1,1,15.5,2,0,0,2.803360380906535
0,3,2,36.0,0,0,7.8958,3,1,0,2.1855792552411137
1,2,1,32.0,0,0,13.0,3,1,0,2.639057329615259
0,2,2,19.0,0,0,13.0,3,1,0,2.639057329615259
1,3,1,19.0,1,0,7.8542,3,0,0,2.180891922715322
1,2,2,3.0,1,1,26.0,3,0,1,3.295836866004329
1,1,1,44.0,0,0,14.5,1,1,1,2.740840023925201
1,1,1,58.0,0,0,146.5208,1,1,1,4.993969182787072
0,3,2,28.0,0,0,7.75,2,1,0,2.169053700369523
0,3,2,42.0,0,1,14.5,3,0,0,2.740840023925201
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
0,2,1,24.0,0,0,13.0,3,1,0,2.639057329615259
0,3,2,28.0,0,0,9.5,3,1,0,2.3513752571634776
0,3,2,28.0,8,2,69.55,3,0,0,4.256321678298823
0,3,2,34.0,0,0,6.4958,3,1,0,2.0143428636837015
0,3,2,45.5,0,0,7.225,1,1,0,2.1071782966514356
1,3,2,18.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,1,2.0,0,1,14.5,3,0,1,2.740840023925201
0,3,2,32.0,1,0,15.85,3,0,0,2.8243506567983707
1,3,2,26.0,0,0,18.7875,1,1,0,2.9850504252071306
1,3,1,16.0,0,0,14.5,2,1,0,2.740840023925201
1,1,2,40.0,0,0,31.0,1,1,1,3.4657359027997265
0,3,2,24.0,0,0,7.05,3,1,0,2.085672091430472
1,2,1,35.0,0,0,21.0,3,1,0,3.091042453358316
0,3,2,22.0,0,0,7.25,3,1,0,2.1102132003465894
0,2,2,30.0,0,0,13.0,3,1,0,2.639057329615259
0,3,2,28.0,1,0,7.75,2,0,0,2.169053700369523
1,1,1,31.0,1,0,113.275,1,0,1,4.738607824217808
1,3,1,27.0,0,0,7.925,3,1,0,2.188856327665703
0,2,2,42.0,1,0,27.0,3,0,0,3.332204510175204
1,1,1,32.0,0,0,76.2917,1,1,1,4.347586575960343
0,2,2,30.0,0,0,10.5,3,1,0,2.4423470353692043
1,3,2,16.0,0,0,8.05,3,1,0,2.2027647577118348
0,2,2,27.0,0,0,14.5,3,1,0,2.740840023925201
0,3,2,51.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
1,1,2,38.0,1,0,90.0,3,0,1,4.51085950651685
0,3,2,22.0,0,0,9.35,3,1,0,2.336986519711378
1,2,2,19.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,2,20.5,0,0,7.25,3,1,0,2.1102132003465894
0,2,2,18.0,0,0,13.0,3,1,0,2.639057329615259
0,3,1,28.0,3,1,25.4667,3,0,0,3.275887339030031
1,1,1,35.0,1,0,83.475,3,0,1,4.436455632600354
0,3,2,29.0,0,0,7.775,3,1,0,2.1719067693519296
0,2,2,59.0,0,0,13.5,3,1,0,2.6741486494265287
1,3,1,5.0,4,2,31.3875,3,0,0,3.4777725458882283
0,2,2,24.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,1,28.0,0,0,7.55,3,1,0,2.145931282948669
0,2,2,44.0,1,0,26.0,3,0,0,3.295836866004329
1,2,1,8.0,0,2,26.25,3,0,0,3.305053521109253
0,2,2,19.0,0,0,10.5,3,1,0,2.4423470353692043
0,2,2,33.0,0,0,12.275,3,1,0,2.5858825671280026
0,3,1,28.0,1,0,14.4542,1,0,0,2.737880811060884
1,3,1,28.0,1,0,15.5,2,0,0,2.803360380906535
0,2,2,29.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,2,22.0,0,0,7.125,3,1,0,2.094945728215801
0,3,2,30.0,0,0,7.225,1,1,0,2.1071782966514356
0,1,2,44.0,2,0,90.0,2,0,1,4.51085950651685
0,3,1,25.0,0,0,7.775,3,1,0,2.1719067693519296
1,2,1,24.0,0,2,14.5,3,0,0,2.740840023925201
1,1,2,37.0,1,1,52.5542,3,0,1,3.9806942251907276
0,2,2,54.0,1,0,14.5,3,0,0,2.740840023925201
0,3,2,28.0,0,0,14.5,3,1,0,2.740840023925201
0,3,1,29.0,1,1,10.4625,3,0,1,2.4390808375825834
0,1,2,62.0,0,0,26.55,3,1,1,3.3160025355989236
0,3,2,30.0,1,0,16.1,3,0,0,2.8390784635086144
0,3,1,41.0,0,2,20.2125,3,0,0,3.0545906305603445
1,3,1,29.0,0,2,15.2458,1,0,0,2.7878344138303452
1,1,1,28.0,0,0,79.2,1,1,0,4.384523514872469
1,1,1,30.0,0,0,14.5,3,1,1,2.740840023925201
1,1,1,35.0,0,0,512.3292,1,1,0,6.240917354759096
1,2,1,50.0,0,1,26.0,3,0,0,3.295836866004329
0,3,2,28.0,0,0,7.75,2,1,0,2.169053700369523
1,3,2,3.0,4,2,31.3875,3,0,0,3.4777725458882283
0,1,2,52.0,1,1,79.65,3,0,1,4.390118804571218
0,1,2,40.0,0,0,14.5,3,1,1,2.740840023925201
0,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
0,2,2,36.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,2,16.0,4,1,39.6875,3,0,0,3.705920919968788
1,3,2,25.0,1,0,7.775,3,0,0,2.1719067693519296
1,1,1,58.0,0,1,153.4625,3,0,1,5.039951348430309
1,1,1,35.0,0,0,135.6333,3,1,1,4.91730069488021
0,1,2,28.0,0,0,14.5,3,1,0,2.740840023925201
1,3,2,25.0,0,0,0.0,3,1,0,0.0
1,2,1,41.0,0,1,19.5,3,0,0,3.0204248861443626
0,1,2,37.0,0,1,29.7,1,0,1,3.4242626545931514
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
1,1,1,63.0,1,0,77.9583,3,0,1,4.368919865004903
0,3,1,45.0,0,0,7.75,3,1,0,2.169053700369523
0,2,2,28.0,0,0,0.0,3,1,0,0.0
0,3,2,7.0,4,1,29.125,2,0,0,3.405355391810819
1,3,1,35.0,1,1,20.25,3,0,0,3.056356895370426
0,3,2,65.0,0,0,7.75,2,1,0,2.169053700369523
0,3,2,28.0,0,0,7.8542,3,1,0,2.180891922715322
0,3,2,16.0,0,0,9.5,3,1,0,2.3513752571634776
1,3,2,19.0,0,0,8.05,3,1,0,2.2027647577118348
0,1,2,28.0,0,0,26.0,3,1,1,3.295836866004329
0,3,2,33.0,0,0,8.6625,1,1,0,2.2682524139135403
1,3,2,30.0,0,0,9.5,3,1,0,2.3513752571634776
0,3,2,22.0,0,0,7.8958,3,1,0,2.1855792552411137
1,2,2,42.0,0,0,13.0,3,1,0,2.639057329615259
1,3,1,22.0,0,0,7.75,2,1,0,2.169053700369523
1,1,1,26.0,0,0,78.85,3,1,0,4.380149874661021
1,1,1,19.0,1,0,91.0792,1,0,1,4.5226490762785785
0,2,2,36.0,0,0,12.875,1,1,1,2.630088659632498
0,3,1,24.0,0,0,8.85,3,1,0,2.2874714551839976
0,3,2,24.0,0,0,7.8958,3,1,0,2.1855792552411137
0,1,2,28.0,0,0,27.7208,1,1,0,3.357621598945279
0,3,2,23.5,0,0,7.2292,1,1,0,2.1076888046179385
0,1,1,2.0,1,2,151.55,3,0,1,5.027492411162679
1,1,2,28.0,0,0,30.5,3,1,1,3.449987545831587
1,1,1,50.0,0,1,247.5208,1,0,1,5.515526544247129
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
1,3,2,28.0,2,0,23.25,2,0,0,3.188416617383492
0,3,2,19.0,0,0,0.0,3,1,0,0.0
1,2,1,28.0,0,0,14.5,2,1,1,2.740840023925201
0,3,2,28.0,0,0,8.05,3,1,0,2.2027647577118348
1,1,2,0.92,1,2,151.55,3,0,1,5.027492411162679
1,1,1,28.0,0,0,110.8833,1,1,0,4.717456363787216
1,1,1,17.0,1,0,108.9,1,0,1,4.699570861409576
0,2,2,30.0,1,0,24.0,1,0,0,3.2188758248682006
1,1,1,30.0,0,0,56.9292,1,1,1,4.0592215752427645
1,1,1,24.0,0,0,83.1583,1,1,1,4.432699549165613
1,1,1,18.0,2,2,262.375,1,0,1,5.5735788721243535
0,2,1,26.0,1,1,26.0,3,0,0,3.295836866004329
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,2,2,43.0,1,1,26.25,3,0,0,3.305053521109253
1,3,1,26.0,0,0,14.5,3,1,0,2.740840023925201
1,2,1,24.0,1,0,26.0,3,0,0,3.295836866004329
0,2,2,54.0,0,0,14.0,3,1,0,2.70805020110221
1,1,1,31.0,0,2,164.8667,3,0,1,5.11118445372147
1,1,1,40.0,1,1,134.5,1,0,1,4.908971640319756
0,3,2,22.0,0,0,7.25,3,1,0,2.1102132003465894
0,3,2,27.0,0,0,7.8958,3,1,0,2.1855792552411137
1,2,1,30.0,0,0,12.35,2,1,0,2.5915163848462583
1,2,1,22.0,1,1,29.0,3,0,0,3.4011973816621555
0,3,2,28.0,8,2,69.55,3,0,0,4.256321678298823
1,1,1,36.0,0,0,135.6333,1,1,1,4.91730069488021
0,3,2,61.0,0,0,6.2375,3,1,0,1.9792758428991135
1,2,1,36.0,0,0,13.0,3,1,1,2.639057329615259
1,3,1,31.0,1,1,14.5,3,0,0,2.740840023925201
1,1,1,16.0,0,1,57.9792,1,0,1,4.077184839375167
1,3,1,28.0,2,0,23.25,2,0,0,3.188416617383492
0,1,2,45.5,0,0,28.5,3,1,1,3.3843902633457743
0,1,2,38.0,0,1,153.4625,3,0,1,5.039951348430309
0,3,2,16.0,2,0,18.0,3,0,0,2.9444389791664403
1,1,1,28.0,1,0,133.65,3,0,0,4.902678819257608
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,1,2,29.0,1,0,66.6,3,0,1,4.213607983048918
1,1,1,41.0,0,0,14.5,1,1,1,2.740840023925201
1,3,2,45.0,0,0,8.05,3,1,0,2.2027647577118348
0,1,2,45.0,0,0,35.5,3,1,1,3.597312260588446
1,2,2,2.0,1,1,26.0,3,0,1,3.295836866004329
1,1,1,24.0,3,2,263.0,3,0,1,5.575949103146316
0,2,2,28.0,0,0,13.0,3,1,0,2.639057329615259
0,2,2,25.0,0,0,13.0,3,1,0,2.639057329615259
0,2,2,36.0,0,0,13.0,3,1,0,2.639057329615259
1,2,1,24.0,0,0,13.0,3,1,1,2.639057329615259
1,2,1,40.0,0,0,14.5,3,1,0,2.740840023925201
1,3,1,28.0,1,0,16.1,3,0,0,2.8390784635086144
1,3,2,3.0,1,1,14.5,3,0,0,2.740840023925201
0,3,2,42.0,0,0,8.6625,3,1,0,2.2682524139135403
0,3,2,23.0,0,0,9.225,3,1,0,2.3248357019288655
0,1,2,28.0,0,0,35.0,3,1,1,3.58351893845611
0,3,2,15.0,1,1,7.2292,1,0,0,2.1076888046179385
0,3,2,25.0,1,0,17.8,3,0,0,2.9338568698359033
0,3,2,28.0,0,0,7.225,1,1,0,2.1071782966514356
0,3,2,28.0,0,0,9.5,3,1,0,2.3513752571634776
1,1,1,22.0,0,1,55.0,3,0,1,4.02535169073515
0,2,1,38.0,0,0,13.0,3,1,0,2.639057329615259
1,3,1,28.0,0,0,7.8792,2,1,0,2.1837114628556327
1,3,1,28.0,0,0,7.8792,2,1,0,2.1837114628556327
0,3,2,40.0,1,4,27.9,3,0,0,3.3638415951183864
0,2,2,29.0,1,0,27.7208,1,0,0,3.357621598945279
0,3,1,45.0,0,1,14.4542,1,0,0,2.737880811060884
0,3,2,35.0,0,0,7.05,3,1,0,2.085672091430472
0,3,2,28.0,1,0,15.5,2,0,0,2.803360380906535
0,3,2,30.0,0,0,7.25,3,1,0,2.1102132003465894
1,1,1,60.0,1,0,75.25,1,0,1,4.334017415487521
1,3,1,28.0,0,0,7.2292,1,1,0,2.1076888046179385
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
1,1,1,24.0,0,0,69.3,1,1,1,4.252771798816619
1,1,2,25.0,1,0,55.4417,1,0,1,4.0332082470129285
0,3,2,18.0,1,0,6.4958,3,0,0,2.0143428636837015
0,3,2,19.0,0,0,14.5,3,1,0,2.740840023925201
0,1,2,22.0,0,0,135.6333,1,1,0,4.91730069488021
0,3,1,3.0,3,1,21.075,3,0,0,3.094445746490024
1,1,1,28.0,1,0,82.1708,1,0,0,4.420896324687287
1,3,1,22.0,0,0,7.25,3,1,0,2.1102132003465894
0,1,2,27.0,0,2,211.5,1,0,1,5.358941988364472
0,3,2,20.0,0,0,4.0125,1,1,0,1.6119347926326877
0,3,2,19.0,0,0,7.775,3,1,0,2.1719067693519296
1,1,1,42.0,0,0,227.525,1,1,0,5.4316456135398825
1,3,1,1.0,0,2,15.7417,1,0,0,2.817902613071225
0,3,2,32.0,0,0,7.925,3,1,0,2.188856327665703
1,1,1,35.0,1,0,52.0,3,0,0,3.970291913552122
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,2,2,18.0,0,0,73.5,3,1,0,4.310799125385514
0,3,2,1.0,5,2,46.9,3,0,0,3.8691155044168695
1,2,1,36.0,0,0,13.0,3,1,0,2.639057329615259
0,3,2,28.0,0,0,7.7292,2,1,0,2.1666737276227077
1,2,1,17.0,0,0,12.0,1,1,0,2.5649493574615367
1,1,2,36.0,1,2,120.0,3,0,1,4.795790545596741
1,3,2,21.0,0,0,14.5,3,1,0,2.740840023925201
0,3,2,28.0,2,0,14.5,3,0,0,2.740840023925201
1,1,1,23.0,1,0,113.275,1,0,1,4.738607824217808
1,3,1,24.0,0,2,16.7,3,0,1,2.8735646395797834
0,3,2,22.0,0,0,7.7958,3,1,0,2.174274334826008
0,3,1,31.0,0,0,7.8542,3,1,0,2.180891922715322
0,2,2,46.0,0,0,26.0,3,1,0,3.295836866004329
0,2,2,23.0,0,0,10.5,3,1,0,2.4423470353692043
1,2,1,28.0,0,0,12.65,3,1,0,2.613739521630969
1,3,2,39.0,0,0,7.925,3,1,0,2.188856327665703
0,3,2,26.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,1,21.0,1,0,9.825,3,0,0,2.3818582738885534
0,3,2,28.0,1,0,15.85,3,0,0,2.8243506567983707
0,3,1,20.0,0,0,8.6625,3,1,0,2.2682524139135403
0,2,2,34.0,1,0,21.0,3,0,0,3.091042453358316
0,3,2,51.0,0,0,7.75,3,1,0,2.169053700369523
1,2,2,3.0,1,1,18.75,3,0,0,2.9831534913471307
0,3,2,21.0,0,0,7.775,3,1,0,2.1719067693519296
0,3,1,28.0,3,1,25.4667,3,0,0,3.275887339030031
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,3,2,28.0,0,0,6.8583,2,1,0,2.061570298060867
1,1,1,33.0,1,0,90.0,2,0,1,4.51085950651685
0,2,2,28.0,0,0,0.0,3,1,0,0.0
1,3,2,44.0,0,0,7.925,3,1,0,2.188856327665703
0,3,1,28.0,0,0,8.05,3,1,0,2.2027647577118348
1,2,1,34.0,1,1,32.5,3,0,0,3.5115454388310208
1,2,1,18.0,0,2,13.0,3,0,0,2.639057329615259
0,2,2,30.0,0,0,13.0,3,1,0,2.639057329615259
0,3,1,10.0,0,2,24.15,3,0,0,3.224857896545748
0,3,2,28.0,0,0,7.8958,1,1,0,2.1855792552411137
0,3,2,21.0,0,0,14.5,2,1,0,2.740840023925201
0,3,2,29.0,0,0,7.875,3,1,0,2.1832383353614793
0,3,1,28.0,1,1,14.4,3,0,0,2.7343675094195836
0,3,2,18.0,1,1,20.2125,3,0,0,3.0545906305603445
